doc_uid,state,doc_id,source_path,renewal_type,notice_period,renewal_status,renewal_evidence,evaluation,evaluation_status,evaluation_evidence,baseline_keyword_renewal,baseline_keyword_eval
Alaska/Alaska_12,Alaska,Alaska_12,d:\NLP_Project_tasks_6_8_11\OCR_output\Alaska\Alaska_12.txt,by_mutual_agreement,,found,"18. Term and Amendment: This Statement of Cooperation is effective when signed by the Lieutenant Governor of Alaska, British Columbia's Minister of Environment and Minister of || groups established under the SOC, might enhance communication with the Nisga'a Nation, First Nations, Tribes, communities, organizations, residents in the region and with federal agencies regarding work performed by the parties. Subject to…",present,found,"b. As the BWG looks at the best ways to enhance their existing collaboration they will consider, among other options: i. Participation of a representative of an agency from the British Columbia or Alaska government as a member, observer or… || JOINT WATER QUALITY MONITORING PROGRAM FOR TRANSBOUNDARY WATERS Program Description and Two-Year Work Plan' Context In accordance with the Statement of Cooperation (SoC), British Columbia (BC) and Alaska (AK) propose a Transboundary Waters…",True,True
Alaska/Alaska_2,Alaska,Alaska_2,d:\NLP_Project_tasks_6_8_11\OCR_output\Alaska\Alaska_2.txt,automatic,,found,"DNR dated September 11, 2013 and renewed as of September 11, 2015, September 11, 2017, September 11, 2019 and September 11, 2021 (the ""MOU""). || JBIC From: JAPAN BANK FOR INTERNATIONAL COOPERATION (JBIC"") To: THE DEPARTMENT OF NATURAL RESOURCES OF THE STATE OF ALASKA (""Alaska DNR"") Date: August 10, 2023 Dear Sirs, Notice of Extension of Memorandum of Understanding We refer to the M…",absent,absent,,True,False
Alaska/Alaska_3,Alaska,Alaska_3,d:\NLP_Project_tasks_6_8_11\OCR_output\Alaska\Alaska_3.txt,automatic,,found,"Each person signing this Memorandum of Cooperation hereby represents and warrants that he or she is authorized to execute and deliver this Memorandum of || Participants notifies the other with thirty (30) days prior notice of its decision to renew the same. Notwithstanding the above, either Participant may at any time terminate this Memorandum of",absent,absent,,True,False
Alaska/Alaska_4,Alaska,Alaska_4,d:\NLP_Project_tasks_6_8_11\OCR_output\Alaska\Alaska_4.txt,automatic,,found,"ora associates. IV. Irmand.Amendment This Memorandum ofUnderstanding: and Cooperation ise effective when signed by both the Governora and thel Premier and as otherwise || memoranda ofc cooperation; Recognizingt ther mutualo commitment ofAlaska and British Columbiat tos sustainingo our environmentf for thel benefit ofa all, includingo our valuable",present,found,"dinating entity, and will call upon the appropriate provinciala agencies for implementation. 2.) Officialsa appointed by the Governora and thel Premier may negotiatej jointly, and, with thej permission of their respective Governor or Premi… || theys support: establish and oversee: ajoint process to develop and implement ajoint water quality monitoringprogram for transboundary waters",True,True
Alaska/Alaska_5,Alaska,Alaska_5,d:\NLP_Project_tasks_6_8_11\OCR_output\Alaska\Alaska_5.txt,automatic,,found,"This Memorandum of Understanding is nonexclusive. Neither Party is precluded by this Memorandum of Understanding from engaging in similar or dissimilar memoranda, agreements || Provided, however, that the confidentiality obligations set forth in Article 3 shall survive the expiration of this Memorandum ofUnderstanding for a period not to exceed five years from such expiration.",present,found,"wer), environmental technologies, water and waste management, and other renewable energy technologies; (ii) Potential projects in Alaska that the State of Alaska would like JBIC to evaluate for possible international financial investment; … || JAPAN BANK FOR INTERNATIONAL JBIC COOPERATION MEMORANDUM OF UNDERSTANDING BETWEEN The Department ofl Natural Resources of the State of Alaska And Japan Bank for International Cooperation This Memorandum of Understanding is made on 11th Sep…",True,True
Alaska/Alaska_6,Alaska,Alaska_6,d:\NLP_Project_tasks_6_8_11\OCR_output\Alaska\Alaska_6.txt,absent,,absent,,absent,absent,,False,False
Alaska/Alaska_7,Alaska,Alaska_7,d:\NLP_Project_tasks_6_8_11\OCR_output\Alaska\Alaska_7.txt,automatic,,found,"make necessary modifications. ""9.3 Amendments to this Agreement can be made by simple majority vote of the Members and will take effect immediately || action."". SEC.: 2. OTHER STATES. Without further submission of the compact, the consent of Congress is given to any State to become a party to it in accordance",present,found,"eral agencies. ""Article IX ""9.1 The Members may request the United States Forest Service to act as the coordinating agency of the Northwest Wildland Fire Protection Agreement in cooperation with the appropriate agen- cies for each Member. … || cies for each Member. ""9.2 The Members will hold an annual meeting to review the terms of this Agreement, any applicable Operating Plans, and",True,True
Alaska/Alaska_8,Alaska,Alaska_8,d:\NLP_Project_tasks_6_8_11\OCR_output\Alaska\Alaska_8.txt,automatic,,found,"according to interagency agreements established for that purpose. The duration of this Memorandum of Cooperation is intended to be perpetual, || Each party shall bear its own expenses of cooperating pursuant to this Memorandum, and will contribute to the operating expenses of the Task Force",present,found,representatives of each member agency will be appointed to maintain this Memorandum and coordinate Task Force activities. || These representatives and the Task Force Executive Coordinator will form the Task Force Coordinating Committee. The Coordinating Committee will meet quarterly and the Task Force,True,True
Alaska/Alaska_9,Alaska,Alaska_9,d:\NLP_Project_tasks_6_8_11\OCR_output\Alaska\Alaska_9.txt,automatic,,found,goals set out herein. It is the intent of the Parties to review the status and progress made under this MOU at the end of the first year of operation. || This MOU will become effective upon its execution by two or more Parties and continue in force until terminated by the Parties.,present,found,"disorder, insurgency, or enemy/terrorist attack. b. Review jurisdictional emergency plans and consider developing mutual assistance || Page 2 of 7 MK-00067 PRR-2020-0119 a. Review, prioritize and determine most likely and most damaging potential emergencies",True,True
Arizona/Arizona_1,Arizona,Arizona_1,d:\NLP_Project_tasks_6_8_11\OCR_output\Arizona\Arizona_1.txt,absent,,absent,,absent,absent,,False,False
Arizona/Arizona_10,Arizona,Arizona_10,d:\NLP_Project_tasks_6_8_11\OCR_output\Arizona\Arizona_10.txt,absent,,absent,,absent,absent,,False,False
Arizona/Arizona_11,Arizona,Arizona_11,d:\NLP_Project_tasks_6_8_11\OCR_output\Arizona\Arizona_11.txt,automatic,,found,"Each state will be responsible for its own expenses in the implementation of this Memorandum of Understanding. This Memorandum of Understanding is signed in the City of Tucson Arizona on June || Nonetheless, the State of Arizona and State of Sonora should endeavor to give the other party 30 days written notice ofi its intention to terminate this Memorandum of",present,found,"economic developers, the Participants will evaluate opportunities to strengthen bilateral cooperation, technology commercialization and market || ventures; and The Participants will engage additional committees of the Arizona-Mexico Commission/Comision Sonora Arizona to ensure an inclusive and dynamic",True,True
Arizona/Arizona_12,Arizona,Arizona_12,d:\NLP_Project_tasks_6_8_11\OCR_output\Arizona\Arizona_12.txt,automatic,,found,"Each state will be responsible for its own expenses in the implementation of this Memorandum of Understanding. This Memorandum of Understanding is signed on Wednesday, June 26, 2019, within || time; provided, however, that the terminating party should endeavor to give the other party 30 days' notice ofi its intention to terminate this Memorandum of Understanding.",absent,absent,,True,False
Arizona/Arizona_13,Arizona,Arizona_13,d:\NLP_Project_tasks_6_8_11\OCR_output\Arizona\Arizona_13.txt,automatic,,found,"Each state will be responsible for its own expenses in the implementation of this Memorandum of Understanding. This Memorandum of Understanding is signed on Wednesday, June 26, 2019, within || time; provided, however, that the terminating party should endeavor to give the other party 30 days' notice ofi its intention to terminate this Memorandum of Understanding.",absent,absent,,True,False
Arizona/Arizona_14,Arizona,Arizona_14,d:\NLP_Project_tasks_6_8_11\OCR_output\Arizona\Arizona_14.txt,absent,,absent,,present,found,"Z o O A a C ARIZONA-MEXICO < Gobieror nel COMMISSION Estado de Sonara Air Quality: SONOR Installation and Operation of Air Quality Equipment in Sonora Border Communities O Phase 1. Rehabilitation of current equipment o Phase 2. Acquisition… || A M X C a o d a O ARIZONA-MEXICO K Gobiernoidel COMMISSION Estado de Sonara SONOT RA That this plan was developed through a series of teleconferences, workshops, and individual consultations, including two multi-agency workshops that were …",False,True
Arizona/Arizona_15,Arizona,Arizona_15,d:\NLP_Project_tasks_6_8_11\OCR_output\Arizona\Arizona_15.txt,by_mutual_agreement,,found,"Memorandum of Understanding will be resolved solely by mutual agreement of the Parties. Paragraph 9 Duration and Termination || Understanding, should be settled through consultation between the Participants. The Memorandum of Understanding can be modified by mutual decision of the",present,found,"Undersecretary of Infrastructure of the SCT shall intend to designate a representative from each agency to monitor the implementation of this Memorandum of || Understanding. 4 M The Participants intend to meet in person or telephonically, as needed, to address and resolve issues described in Article 1 of this Memorandum of Understanding.",True,True
Arizona/Arizona_16,Arizona,Arizona_16,d:\NLP_Project_tasks_6_8_11\OCR_output\Arizona\Arizona_16.txt,automatic,,found,"18. - Indemnification: Each party (as ""Indemnitor"") agrees to defend, indemnify and hold harmless the other party (as ""Indemnitee"") from and against any and all claim, losses, liability, costs or expenses (including || to carry out the activities related to the fulfillment of this Agreement. 14. - Controversies: this agreement is in good faith and any disputes that arise will be resolved by common",present,found,"2.- The objectives of ""CEDES"" include formulating, implementing and evaluating the environmental policy of the state, creating efforts for joint and coordinated implementation of actions to improve and protect the environment, || C- Provide assistance during scheduled visits as requested. D- Weekly external inspection of the monitoring site. E- Fill in a daily checklist of weather events and send them to CEDES technicians.",True,True
Arizona/Arizona_17,Arizona,Arizona_17,d:\NLP_Project_tasks_6_8_11\OCR_output\Arizona\Arizona_17.txt,uncertain,,uncertain,"Having read the present Memorandum of Understanding, the parties hereby agree to its terms and sign it, in the city of Phoenix, Arizona on 2 June of 2008. || The Governor's Office in each state must meet all federal and state requirements to utilize this resolution as a tool to give knowledge to decision makers and the dissemination",present,found,Governor's Office to facilitate the State of Sonora's process in generating a similar resolution to coordinate Sonora's border || legal requirements that may pertain to final approval. 3. All terms and conditions pertaining to the preparation and signing of a,True,True
Arizona/Arizona_2,Arizona,Arizona_2,d:\NLP_Project_tasks_6_8_11\OCR_output\Arizona\Arizona_2.txt,automatic,,found,ofthis Cooperation Agreement or as may be mutually agreed by the Parties. 7.3. This Cooperation Agreement will enter into force on the date on which it is signed || 6.3. A Receiving Party should use information about a referred Innovator Business only for the purpose of providing support to the referred Innovator Business through the Receiving Party and ensuring compliance with the law of the market s…,absent,absent,,True,False
Arizona/Arizona_3,Arizona,Arizona_3,d:\NLP_Project_tasks_6_8_11\OCR_output\Arizona\Arizona_3.txt,automatic,,found,implementation of this Cooperation Agreement or as may be mutually agreed by the Parties. 7.3. This Cooperation Agreement will enter into force on the date on which it is signed || obtained under this Cooperation Agreement will continue to be treated in the manner set out under paragraph 6. 7.6. The Cooperation Agreement is made in two (2) authentic copies in English.,absent,absent,,True,False
Arizona/Arizona_4,Arizona,Arizona_4,d:\NLP_Project_tasks_6_8_11\OCR_output\Arizona\Arizona_4.txt,automatic,,found,agreed upon while the Declaration of Cooperation was valid. Each state will be responsible for its own expenses in the implementation of this Declaration of Cooperation. || QLOLolRL John Halikowski Ricardo Martinez Terrazas Director Secretary Arizona Department of Transportation Department of Infrastructure and Urban,absent,absent,,True,False
Arizona/Arizona_5,Arizona,Arizona_5,d:\NLP_Project_tasks_6_8_11\OCR_output\Arizona\Arizona_5.txt,automatic,,found,"Each state will be responsible forfits own expenses in the implementation ofthis Declaration of Cooperation. John Halikowski || America or the United Mexican States (or any state or local jurisdiction), or with any relevant international agreements.",absent,absent,,True,False
Arizona/Arizona_6,Arizona,Arizona_6,d:\NLP_Project_tasks_6_8_11\OCR_output\Arizona\Arizona_6.txt,by_mutual_agreement,,found,This Declaration of Cooperation will be effective on the date of its signature and will be valid for 5 years. The State of Arizona or the State of Sonora may terminate its participation under this Declaration of || Each State will be responsible for its own expenses in the implementation of this Declaration of Cooperation. - aate Sandra Watson,absent,absent,,True,False
Arizona/Arizona_7,Arizona,Arizona_7,d:\NLP_Project_tasks_6_8_11\OCR_output\Arizona\Arizona_7.txt,absent,,absent,,absent,absent,,False,False
Arizona/Arizona_8,Arizona,Arizona_8,d:\NLP_Project_tasks_6_8_11\OCR_output\Arizona\Arizona_8.txt,absent,,absent,,present,found,"bodies, with the corresponding evaluation of current las normas regulatorias y la proteccion de los cuerpos management, operations, and support of wastewater binacionales de agua, con la correspondiente || infrastructure. To ensure these efforts are evaluacion del actual manejo, operaciones y apoyo de accomplished, an annual report due each September la infraestructura de aguas residuales.",False,True
Arizona/Arizona_9,Arizona,Arizona_9,d:\NLP_Project_tasks_6_8_11\OCR_output\Arizona\Arizona_9.txt,by_mutual_agreement,,found,"RECOGNIZING that, while the Mexican wolf wild and captive populations are larger now, there are new ecological, social and financial challenges that must be addressed through renewed and strengthened inter-institutional strategies that ass… || new ecological, social and financial challenges that must be addressed through renewed and strengthened inter-institutional strategies that assure the successful recovery of the Mexican wolf;",present,found,"RECOGNIZING that, while the Mexican wolf wild and captive populations are larger now, there are new ecological, social and financial challenges that must be addressed through renewed and strengthened inter-institutional strategies that ass… || activities decided upon during the development of the annual Trilateral Committee Meeting for Management and Conservation of Wildlife and its Ecosystems, and will report the progress and success",True,True
Arkansas/Arkansas_1,Arkansas,Arkansas_1,d:\NLP_Project_tasks_6_8_11\OCR_output\Arkansas\Arkansas_1.txt,absent,,absent,,present,found,the supporting mechanism for mutual cooperation; facilitating exchange of information; + Increasing effectiveness in administrative procedures. + Supporting interaction and exchange of people to increase mutual understanding. Article 2. EN… || from the date of signature. The two Parties shall regularly review the execution of the Action Plan based on this agreement.,False,True
Arkansas/Arkansas_10,Arkansas,Arkansas_10,d:\NLP_Project_tasks_6_8_11\OCR_output\Arkansas\Arkansas_10.txt,automatic,,found,"This Arrangement is effective upon the: signature of both parties and can be revoked by either party at any time, for any reason with three months from notice to implement this decision. || RECIPROCITY ARRANGEMENT This informal Arrangement is made between the State of Arkansas, represented by the Lieutenant Governor, and thel French Authorities, represented by the Consul General of France in Houston, to facilitate the ease wi…",absent,absent,,True,False
Arkansas/Arkansas_2,Arkansas,Arkansas_2,d:\NLP_Project_tasks_6_8_11\OCR_output\Arkansas\Arkansas_2.txt,absent,,absent,,absent,absent,,False,False
Arkansas/Arkansas_3,Arkansas,Arkansas_3,d:\NLP_Project_tasks_6_8_11\OCR_output\Arkansas\Arkansas_3.txt,absent,,absent,,absent,absent,,False,False
Arkansas/Arkansas_4,Arkansas,Arkansas_4,d:\NLP_Project_tasks_6_8_11\OCR_output\Arkansas\Arkansas_4.txt,automatic,,found,"d. This MOU becomes effective when signed by the last signatory hereto and may be terminated by either Side at will at any time with a thirty (30) day written notice, except || resolved through discussions between the Sides C. Any modifications to this MOU will be in writing and approved by both Sides.",absent,absent,,True,False
Arkansas/Arkansas_5,Arkansas,Arkansas_5,d:\NLP_Project_tasks_6_8_11\OCR_output\Arkansas\Arkansas_5.txt,automatic,,found,"C. Any modifications to this MOU will be in writing and approved by both Sides. d. This MOU becomes effective when signed by the last signatory hereto and may be || Taipei Economic and Cultural Office in Houston Att: Consular Officer Consular Division 11 Greenway Plaza, Suite 2006 Houston, TX 77046 USA Tel: 1-717-626-7445 Fax: 1-713-626-0990 E-mail: tecohou@sbeglobal.net Arkansas Department of Finance…",absent,absent,,True,False
Arkansas/Arkansas_6,Arkansas,Arkansas_6,d:\NLP_Project_tasks_6_8_11\OCR_output\Arkansas\Arkansas_6.txt,automatic,,found,"from the date of signature. This Agreement shall be in full force and effective for a period of 5 years. However, the Republic of Ghana and the State of || and witness to make this MOU the official document by which all aforementioned activities and subsequent activities shall be implemented.",absent,absent,,True,False
Arkansas/Arkansas_7,Arkansas,Arkansas_7,d:\NLP_Project_tasks_6_8_11\OCR_output\Arkansas\Arkansas_7.txt,automatic,,found,"from the date of signature. This Agreement shall be in full force and effective for a period of 5 years. However, the Republic of Ghana and the State of || and witness to make this MOU the official document by which all aforementioned activities and subsequent activities shall be implemented.",absent,absent,,True,False
Arkansas/Arkansas_8,Arkansas,Arkansas_8,d:\NLP_Project_tasks_6_8_11\OCR_output\Arkansas\Arkansas_8.txt,automatic,,found,"from the date of signature. This Agreement shall be in full force and effective for a period of 5 years. However, the Republic of Ghana and the State of || and witness to make this MOU the official document by which all aforementioned activities and subsequent activities shall be implemented.",absent,absent,,True,False
Arkansas/Arkansas_9,Arkansas,Arkansas_9,d:\NLP_Project_tasks_6_8_11\OCR_output\Arkansas\Arkansas_9.txt,automatic,30 days,found,to thel BMA and to a group meeting of the Supervisory College when necessary. 3. The BMA may extend an invitation to other Competent Authorities and relevant banking or || (b) any privileges associated with such information. 3. The Supervisors shall revise and update this MMOU when necessary to appropriately reflect,present,found,"(a) Facilitate group-wide supervision, entailing in particular but not limited to, an assessment of the Group's: (1) financial situation, (2) compliance with the rules on || For Official Use Only 4. Description of the Group and identity of the Supervisors 4.1 Description and structure of the Group The parent company of the Group is Allied World Assurance Company Holdings, AG which has its registered office in …",True,True
California/1 (5),California,1 (5),d:\NLP_Project_tasks_6_8_11\OCR_output\California\1 (5).txt,automatic,,found,hereby agrees to furnish such aid and assistance to each other within its statutory authority as will aid in the proper enforcement of this agreement. || to the corresponding officials ofthe other contracting States.,present,found,"tification as may be required by each administrator. Section 59. "" Audits"". The administrator of each contracting State shall, within the statutory authority of such administrator, make any information obtained upon an audit of records of … || required by each administrator. Section 59. "" Audits"". The administrator of each contracting State shall, within the statutory authority of such administrator, make any information obtained",True,True
California/1 (CA - Chille),California,1 (CA - Chille),d:\NLP_Project_tasks_6_8_11\OCR_output\California\1 (CA - Chille).txt,absent,,absent,,absent,absent,,False,False
California/110242023,California,110242023,d:\NLP_Project_tasks_6_8_11\OCR_output\California\110242023.txt,by_mutual_agreement,,found,"advance to the other. All ongoing activities or joint plans commencing within the period of validity of this MOU shall be continued in accordance with the MOU upon || Memorandum of Understanding will be resolved through consultations and amicable discussions between the Participants, who will endeavor in good faith to resolve such",absent,absent,,True,False
California/110252023,California,110252023,d:\NLP_Project_tasks_6_8_11\OCR_output\California\110252023.txt,by_mutual_agreement,,found,"7. Activities to accelerate the deployment of offshore wind technology, including information and lessons learned on offshore wind installation, ports development, workforce development and supply chain development to support offshore wind… || This MOU may be modified at any time by mutual consent of the Parties. Any modification shall be made in writing and specify the date on which such",present,found,"5 SECTION IX Final Provisions This MOU is effective from the date of its signature and the parties will review the MOU and its progress in 4 years. || MOU will be resolved through consultations between the Parties, who will endeavor in good faith to resolve such differences.",True,True
California/110262023,California,110262023,d:\NLP_Project_tasks_6_8_11\OCR_output\California\110262023.txt,automatic,,found,"cooperation under this MOU. 2 The participants will designate a point of contact (or Secretariat) that will serve as a communications and information exchange conduit, as well as || during the time this Memorandum of Understanding is in effect, unless the Participants mutually decide otherwise. This MOU is signed in Beijing on October - 2023 in duplicate, in English",present,found,"The participants will designate a point of contact (or Secretariat) that will serve as a communications and information exchange conduit, as well as for any notice required to be submitted under this Memorandum of Understanding. The Califo… || Ecological and Environmental Monitoring Center and Beijing Climate Change Management Centre may support cooperation under this MOU.",True,True
California/110282023,California,110282023,d:\NLP_Project_tasks_6_8_11\OCR_output\California\110282023.txt,automatic,,found,"Memorandum of Understanding will be resolved through consultations between the Parties, who will endeavor in good faith to resolve such differences. || pollution and carbon emissions; 2. To combat climate change, advance medium- and long-term low-carbon development and the development and implementation of carbon neutrality plans and improve climate change adaptation strategies; 3. To adv…",absent,absent,,True,False
California/110292023,California,110292023,d:\NLP_Project_tasks_6_8_11\OCR_output\California\110292023.txt,automatic,,found,"Memorandum of Understanding will be resolved through consultations between the Participants, who will endeavor in good faith to resolve such differences. || Participants may otherwise modify this Memorandum of Understanding.This Memorandum of Understanding may be modified at any time by mutual consent of the",absent,absent,,True,False
California/111102021,California,111102021,d:\NLP_Project_tasks_6_8_11\OCR_output\California\111102021.txt,absent,,absent,,absent,absent,,False,False
California/11182021,California,11182021,d:\NLP_Project_tasks_6_8_11\OCR_output\California\11182021.txt,by_mutual_agreement,,found,"8 Any difference that may arise in relation to the interpretation or application of this Memorandum of Understanding will be resolved through consultations between the Participants, who will endeavor in good faith to resolve such differenc… || Memorandum of Understanding will be resolved through consultations between the Participants, who will endeavor in good faith to resolve such differences.",absent,absent,,True,False
California/11212021,California,11212021,d:\NLP_Project_tasks_6_8_11\OCR_output\California\11212021.txt,by_mutual_agreement,,found,"Memorandum of Understanding will be resolved through consultations between the Participants, who will endeavor in good faith to resolve such differences. || Participants may otherwise modify this Memorandum of Understanding. This Memorandum of Understanding may be modified at any time by mutual consent of",present,found,"group to supervise and coordinate the planning, performance, evaluation, and approval of cooperative activities carried out under this MoU. || 3 SECTION IV Specific Activities Specific activities to achieve the objectives of this Memorandum of Understanding for the",True,True
California/112122022,California,112122022,d:\NLP_Project_tasks_6_8_11\OCR_output\California\112122022.txt,by_mutual_agreement,,found,"Any difference that may arise in relation to the interpretation or application of this LOI will be resolved through consultation between the Parties, who will endeavor in good faith to resolve such differences. Paragraph 7 Final Provisions… || This LOI may be modified at any time by mutual consent of the Parties. Any modification will be made in writing and specify the date on which such modification",absent,absent,,True,False
California/1282023,California,1282023,d:\NLP_Project_tasks_6_8_11\OCR_output\California\1282023.txt,by_mutual_agreement,,found,"Memorandum of Understanding will be resolved through consultations between the Participants, who will endeavor in good faith to resolve such differences. || manner that the Participants may otherwise modify this Memorandum of Understanding. This Memorandum of Understanding may be modified at any time by mutual consent of",present,found,"new buildings and particularly in existing buildings, through benchmarking, labeling, and audits; iv. Data-driven and digital approaches to promote energy efficiency and || MEMORANDUM OF UNDERSTANDING BETWEEN THE DANISH ENERGY AGENCY OF THE KINGDOM OF DENMARK AND THE CALIFORNIA ENERGY COMMISSION OF THE STATE OF CALIFORNIA OF THE UNITED STATES OF AMERICA The Danish Energy Agency and the California Energy Commi…",True,True
California/1282023 (1),California,1282023 (1),d:\NLP_Project_tasks_6_8_11\OCR_output\California\1282023 (1).txt,by_mutual_agreement,,found,"Memorandum of Understanding will be resolved through consultations between the Participants, who will endeavor in good faith to resolve such differences. || manner that the Participants may otherwise modify this Memorandum of Understanding. This Memorandum of Understanding may be modified at any time by mutual consent of",present,found,"new buildings and particularly in existing buildings, through benchmarking, labeling, and audits; iv. Data-driven and digital approaches to promote energy efficiency and || MEMORANDUM OF UNDERSTANDING BETWEEN THE DANISH ENERGY AGENCY OF THE KINGDOM OF DENMARK AND THE CALIFORNIA ENERGY COMMISSION OF THE STATE OF CALIFORNIA OF THE UNITED STATES OF AMERICA The Danish Energy Agency and the California Energy Commi…",True,True
California/13112022,California,13112022,d:\NLP_Project_tasks_6_8_11\OCR_output\California\13112022.txt,by_mutual_agreement,,found,"Memorandum of Understanding will be resolved through consultations between the Participants, who will endeavor in good faith to resolve such differences. || 4 SECTION VII Availability of Personnel and Resources This Memorandum of Understanding does not involve the exchange of funds, nor does it represent any obligation of funds by either Participant. All costs that may arise from activities co…",absent,absent,,True,False
